饱 嗝,打 饱 嗝
打 饱 嗝,饱 嗝
便 溏,大 便 溏
大 便 溏,便 溏
易 醒,睡 眠 易 醒
睡 眠 易 醒,易 醒
抑 郁,抑 郁 障 碍
抑 郁 障 碍,抑 郁
劳 累 后 胸 闷,劳 累 后 感 觉 胸 闷
劳 累 后 感 觉 胸 闷,劳 累 后 胸 闷
疹,皮 疹
皮 疹,疹
灼 痛,烧 灼 痛
烧 灼 痛,灼 痛
大 小 便 障 碍,大 小 便 功 能 障 碍
大 小 便 功 能 障 碍,大 小 便 障 碍
纳 差,胃 纳 差
纳 差,胃 纳 欠 差
胃 纳 欠 差,纳 差
恶 寒 发 热,发 热 恶 寒
抽 搐,出 现 抽 搐
出 现 抽 搐,抽 搐
肿 痛,出 现 肿 痛
出 现 肿 痛,肿 痛
皮 肤 瘙 痒 抓 痕,皮 肤 有 瘙 痒 抓 痕
皮 肤 有 瘙 痒 抓 痕,皮 肤 瘙 痒 抓 痕
抑 郁,抑 郁 发 作
抑 郁 发 作,抑 郁
脚 汗,出 脚 汗
出 脚 汗,脚 汗
肌 阵 挛,肌 阵 挛 发 作
肌 阵 挛 发 作,肌 阵 挛
鼻 涕,流 鼻 涕
流 鼻 涕,鼻 涕
躁 狂,躁 狂 发 作
纳 差,胃 纳 差 症 状
痛,疼 痛
胃 石,胃 石 形 成
喷 嚏,打 喷 嚏
下 肢 红 斑 结 节,下 肢 结 节 红 斑
癫 痫,癫 痫 发 作
惊 恐 发 作,惊 恐
结 核 中 毒,结 核 中 毒 症 状
右 上 腹 肿 块,右 上 腹 腹 部 肿 块
胸 部 过 度 回 响,胸 部 有 过 度 回 响
咽 部 异 物 感,咽 部 有 异 物 感
肝 区 有 叩 击 痛,肝 区 叩 击 痛
嗜 睡,嗜 睡 发 作
痉 挛,痉 挛 发 作
痂 皮 形 成,痂 皮
喉 痉 挛 发 作,喉 痉 挛
心 悸,发 作 心 悸
乳 腺 结 节,乳 腺 可 有 结 节
