癌 症 晚 期 胃 肠 道 症 状,不 稳 定 性 心 绞 痛
氨 基 酸 尿,阵 发 性 痉 挛 性 腹 痛
白 斑,前 列 腺 肥 大
白 带,循 环 衰 竭
斑,持 续 高 烧
斑,耳 内 瘙 痒
斑,肛 周 皮 肤 湿 疹
斑,巩 膜 水 肿
斑,关 节 钝 痛
斑,肩 周 酸 痛 不 适
斑,结 节 性 梅 毒 疹
斑,经 期 小 腹 坠 痛
斑,口 唇 红 肿
斑,磨 牙 后 垫 红 肿
斑,盆 腔 触 痛
斑,皮 下 脂 肪 和 筋 膜 水 肿
斑,气 血 两 虚 浮 肿
斑,瘙 痒 及 烧 灼 感
斑,输 尿 管 囊 肿
斑,膝 关 节 水 肿
斑,小 腿 瘙 痒 干 燥
斑,心 汗
斑,新 生 儿 喉 喘 鸣
斑,胸 部 瘙 痒
斑,痒
斑,抑 郁
斑,阴 道 口 局 部 红 肿
斑,肿
斑,肘 痛
斑,左 下 腹 压 痛
暴 盲,椎 前 旁 软 组 织 肿 胀 或 脓 肿
背 痛,男 性 小 腹 痛
背 痛,顽 固 性 高 血 压
背 痛,血 性 渗 液
崩 中,胸 闷 压 迫 感
鼻 干,炎 性 腰 背 痛
鼻 塞,妊 娠 头 痛 胀 伴 头 晕
闭 经,瘀 阻 络 脉 身 痛
便 秘,风 湿 性 心 力 衰 竭
便 血,假 性 心 绞 痛
不 寐,头 痛 头 晕
不 孕,孕 期 乳 房 胀 痛
步 态 异 常,单 纯 性 高 大 体 型
步 态 异 常,肾 盏 结 石
步 态 异 常,手 内 肌 萎 缩
肠 穿 孔,心 肾 不 交 耳 聋
肠 鸣 音 异 常,经 期 缩 短
肠 鸣 音 异 常,膀 胱 结 石
肠 鸣 音 异 常,胸 部 异 常 叩 诊 音
弛 张 热,皮 肤 红 肿 热 痛
持 续 性 痛,肩 胛 骨 痛
抽 搐,肝 肾 阴 虚 足 痛
喘,斑
喘,产 褥 期 恶 露
喘,腹 部 绞 痛
喘,关 节 红 肿 热 痛
喘,患 侧 输 卵 管 胀 大 压 痛
喘,肩 部 牵 涉 痛
喘,颈 部 疼 痛
喘,局 部 红 肿 疼 痛
喘,口 腔 白 斑
